Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-23 09:12:44,3.18,-346
2026-06-23 09:13:01,3.15,-7.8
2026-06-23 09:19:28,3.2,-41.8
2026-06-23 09:19:46,3.17,11.2
2026-06-23 09:20:03,3.18,3.8
2026-06-23 09:21:12,3.2,-37.4
2026-06-23 09:23:02,3.21,-68
2026-06-23 09:23:19,3.16,-151.8
2026-06-23 09:24:30,3.18,-0.2
2026-06-23 09:24:49,3.21,-68
2026-06-23 09:25:07,3.21,-92
2026-06-23 09:26:19,3.16,-56
2026-06-23 09:26:38,3.18,-0.4
2026-06-23 09:28:06,3.19,-0.4
2026-06-23 09:29:53,3.19,-0.6
2026-06-23 09:31:25,3.2,-0.8
2026-06-23 09:31:43,3.2,-0.4
2026-06-23 09:32:56,3.2,-0.8
2026-06-23 09:33:12,3.2,-131.2
2026-06-23 09:36:29,3.21,-165.6
2026-06-23 09:37:59,3.18,11.2
2026-06-23 09:38:18,3.2,-0.4
2026-06-23 09:41:15,3.2,90.2
2026-06-23 09:41:33,3.2,124.4
2026-06-23 09:43:03,3.2,-15
2026-06-23 09:44:33,3.22,-0.6
2026-06-23 09:44:51,3.21,-0.2
2026-06-23 09:46:04,3.21,0
2026-06-23 09:46:20,3.22,-1
2026-06-23 09:48:10,3.22,-0.4
2026-06-23 09:49:39,3.22,-0.2
2026-06-23 09:49:57,3.22,-0.6
2026-06-23 09:51:11,3.22,23
2026-06-23 09:52:56,3.23,-0.8
2026-06-23 09:53:14,3.22,10.2
2026-06-23 09:54:44,3.23,-0.6
2026-06-23 10:04:26,3.23,64.6
2026-06-23 10:04:45,3.24,0
2026-06-23 10:06:12,3.24,-0.4
2026-06-23 10:09:17,3.24,-0.6
2026-06-23 10:09:35,3.24,0
2026-06-23 10:11:35,3.24,-0.4
2026-06-23 10:11:54,3.24,-12.4
2026-06-23 10:20:48,3.24,-0.6
2026-06-23 10:21:05,3.25,-0.4
2026-06-23 10:27:46,3.24,-0.6
2026-06-23 10:28:03,3.24,-0.8
2026-06-23 10:30:27,3.24,95.8
2026-06-23 10:31:55,3.24,0.2
2026-06-23 10:32:14,3.24,-0.2
2026-06-23 10:34:02,3.24,-0.4
2026-06-23 10:35:32,3.23,91.6
2026-06-23 10:38:43,3.24,-0.2
2026-06-23 10:40:44,3.24,-0.8
2026-06-23 10:42:34,3.23,-5.8
2026-06-23 10:44:21,3.23,26.8
2026-06-23 10:45:50,3.24,-1
2026-06-23 10:47:19,3.23,29.8
2026-06-23 10:48:49,3.15,243.4
2026-06-23 10:49:09,3.06,259.6
2026-06-23 10:49:28,3.12,299
2026-06-23 11:02:41,3.04,358.2
2026-06-23 11:02:59,3.02,356.2
2026-06-23 11:04:27,2.91,406
2026-06-23 11:04:43,2.87,367.2
2026-06-23 11:06:46,2.55,503.6
2026-06-23 13:39:29,2.94,24
2026-06-23 13:44:32,2.98,-130.6
2026-06-23 14:10:03,3.13,-1
2026-06-23 14:11:30,3.13,-0.4
2026-06-23 14:11:49,3.13,-0.6
2026-06-23 14:25:14,3.13,6.2
2026-06-23 14:26:41,3.13,-19.8
2026-06-23 14:26:58,3.13,0.6
2026-06-23 14:31:58,3.12,21.8
2026-06-23 14:44:06,3.13,23.2
2026-06-23 14:56:24,3.11,78.2
2026-06-23 15:02:36,3.12,72.2
2026-06-23 15:27:45,3.16,19.6
2026-06-23 16:00:05,3.11,132
2026-06-23 16:06:41,3.09,138.2
2026-06-23 17:53:04,3.28,112.4
2026-06-23 18:15:31,3.28,111.6
2026-06-23 18:30:50,3.28,113
2026-06-23 18:46:23,3.28,109
2026-06-23 19:51:44,3.28,115
2026-06-23 20:35:34,3.29,110.6
2026-06-23 21:41:43,3.29,112.6
2026-06-23 21:51:43,3.28,115
2026-06-23 22:12:12,3.28,114.2
2026-06-23 22:22:42,3.28,111.6
2026-06-24 01:14:33,3.29,113.4
2026-06-24 01:29:22,3.29,112.2
2026-06-24 01:44:44,3.28,113.6
2026-06-24 03:11:43,3.28,112.6
2026-06-24 03:31:57,3.28,111.2
2026-06-24 04:16:42,3.28,113.6
2026-06-24 05:19:11,3.28,109.8
2026-06-24 07:35:15,3.29,93.2
2026-06-24 07:40:17,3.3,86.8
2026-06-24 07:43:22,3.3,74.4
2026-06-24 07:59:16,3.31,71.8
2026-06-24 08:03:53,3.31,69
2026-06-24 08:14:45,3.31,49.8
2026-06-24 08:16:18,3.32,39.2
2026-06-24 08:19:23,3.31,67.8
2026-06-24 08:33:19,3.32,27
2026-06-24 08:34:51,3.32,19
2026-06-24 09:22:14,3.31,53.6
2026-06-24 09:22:48,3.3,53.6
2026-06-24 09:23:59,3.29,52.8
2026-06-24 09:24:17,3.3,53.2
2026-06-24 09:25:45,3.29,48
2026-06-24 09:29:36,3.28,54
2026-06-24 09:30:45,3.29,53
2026-06-24 09:32:49,3.29,53.4
2026-06-24 09:35:46,3.29,53.6
2026-06-24 09:36:04,3.29,53
2026-06-24 09:37:30,3.29,53.8
2026-06-24 09:37:47,3.29,54.2
2026-06-24 09:38:04,3.28,53.8
2026-06-24 09:39:14,3.29,53.8
2026-06-24 09:39:32,3.29,54
2026-06-24 09:39:50,3.29,52.8
2026-06-24 09:41:03,3.29,53.8
2026-06-24 09:41:39,3.29,53.4
2026-06-24 09:43:09,3.29,54.2
2026-06-24 09:44:42,3.28,45
2026-06-24 09:45:00,3.27,53.4
2026-06-24 09:46:46,3.3,53.4
2026-06-24 09:48:32,3.29,54
2026-06-24 09:48:50,3.29,53.4
2026-06-24 09:50:38,3.29,53.4
2026-06-24 09:53:57,3.29,54
2026-06-24 09:55:07,3.29,53.8
2026-06-24 09:55:25,3.29,47.4
2026-06-24 09:57:14,3.29,34
2026-06-24 09:58:27,3.28,53.4
2026-06-24 09:58:45,3.28,53.4
2026-06-24 10:02:22,3.28,77
2026-06-24 10:03:52,3.28,76
2026-06-24 10:07:07,3.3,13
2026-06-24 10:07:26,3.3,22.6
2026-06-24 10:08:57,3.28,75.4
