Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-23 09:12:44,3.18,-346
2026-06-23 09:13:01,3.15,-7.8
2026-06-23 09:19:28,3.2,-41.8
2026-06-23 09:21:12,3.2,-37.4
2026-06-23 09:23:02,3.21,-68
2026-06-23 09:23:19,3.16,-151.8
2026-06-23 09:24:30,3.18,-0.2
2026-06-23 09:24:49,3.21,-68
2026-06-23 09:25:07,3.21,-92
2026-06-23 09:26:19,3.16,-56
2026-06-23 09:26:38,3.18,-0.4
2026-06-23 09:28:06,3.19,-0.4
2026-06-23 09:29:53,3.19,-0.6
2026-06-23 09:31:25,3.2,-0.8
2026-06-23 09:31:43,3.2,-0.4
2026-06-23 09:32:56,3.2,-0.8
2026-06-23 09:33:12,3.2,-131.2
2026-06-23 09:36:29,3.21,-165.6
2026-06-23 09:38:18,3.2,-0.4
2026-06-23 09:43:03,3.2,-15
2026-06-23 09:44:33,3.22,-0.6
2026-06-23 09:44:51,3.21,-0.2
2026-06-23 09:46:20,3.22,-1
2026-06-23 09:48:10,3.22,-0.4
2026-06-23 09:49:39,3.22,-0.2
2026-06-23 09:49:57,3.22,-0.6
2026-06-23 09:52:56,3.23,-0.8
2026-06-23 09:54:44,3.23,-0.6
2026-06-23 10:06:12,3.24,-0.4
2026-06-23 10:09:17,3.24,-0.6
2026-06-23 10:11:35,3.24,-0.4
2026-06-23 10:11:54,3.24,-12.4
2026-06-23 10:20:48,3.24,-0.6
2026-06-23 10:21:05,3.25,-0.4
2026-06-23 10:27:46,3.24,-0.6
2026-06-23 10:28:03,3.24,-0.8
2026-06-23 10:32:14,3.24,-0.2
2026-06-23 10:34:02,3.24,-0.4
2026-06-23 10:38:43,3.24,-0.2
2026-06-23 10:40:44,3.24,-0.8
2026-06-23 10:42:34,3.23,-5.8
2026-06-23 10:45:50,3.24,-1
2026-06-23 13:44:32,2.98,-130.6
2026-06-23 14:10:03,3.13,-1
2026-06-23 14:11:30,3.13,-0.4
2026-06-23 14:11:49,3.13,-0.6
2026-06-23 14:26:41,3.13,-19.8
2026-06-24 10:58:48,3.27,-1
2026-06-24 11:06:56,3.29,-34.4
2026-06-24 11:10:29,3.3,-93
2026-06-24 11:13:46,3.3,-70
2026-06-24 11:19:21,3.3,-0.6
2026-06-24 11:22:34,3.3,-0.6
2026-06-24 11:22:51,3.3,-117.8
2026-06-24 11:25:49,3.31,-189
2026-06-24 11:58:14,3.3,-35
2026-06-24 11:59:45,3.31,-0.2
2026-06-24 12:01:32,3.31,-43.6
2026-06-24 12:07:05,3.31,-141.8
2026-06-25 08:30:30,3.34,-0.8
2026-06-25 08:32:02,3.32,-68.2
2026-06-25 08:35:06,3.33,-0.8
2026-06-25 09:04:33,3.32,-142.6
2026-06-25 09:04:50,3.32,-0.4
2026-06-25 09:10:07,3.32,-152.2
2026-06-25 09:11:19,3.3,-0.4
2026-06-25 09:11:36,3.32,-1
2026-06-25 09:13:22,3.32,-0.8
2026-06-25 09:14:48,3.31,-0.8
2026-06-25 09:15:04,3.32,-0.6
2026-06-25 09:16:45,3.32,-131.8
2026-06-25 09:23:18,3.32,-112
2026-06-25 10:22:42,3.28,-17.2
2026-06-25 10:30:00,3.29,-12.8
2026-06-25 10:31:45,3.29,-0.4
2026-06-25 13:57:44,3.19,-3.6
2026-06-25 13:59:31,3.2,-12.8
2026-06-25 14:12:24,3.2,-0.8
2026-06-25 14:12:41,3.2,-52.4
2026-06-25 15:13:46,3.19,-42.6
