Timestamp,Battery Voltage (V),Battery Current (mA),Light Level (lux)
2026-06-25 12:00:10,3.24,29,21217.5
2026-06-25 12:01:58,3.24,12,21818.38
2026-06-25 12:02:17,3.24,29.4,21893.12
2026-06-25 12:04:22,3.24,29.6,23100.62
2026-06-25 12:05:50,3.24,29.4,23698.63
2026-06-25 12:07:38,3.24,29.8,24221.87
2026-06-25 12:09:27,3.24,29.6,24871.63
2026-06-25 12:09:46,3.24,18.6,24995.25
2026-06-25 12:13:23,3.24,29.2,27004.87
2026-06-25 12:13:41,3.24,29.6,27085.37
2026-06-25 12:15:13,3.24,29.8,27904.75
2026-06-25 12:16:41,3.22,29.6,28643.63
2026-06-25 12:18:42,3.21,29.8,29632.62
2026-06-25 12:20:13,3.23,30,30400.25
2026-06-25 12:21:58,3.24,30,31245.5
2026-06-25 12:23:31,3.23,30,32090.75
2026-06-25 12:23:49,3.24,29.6,32277.62
2026-06-25 12:27:22,3.23,30.4,33769.75
2026-06-25 12:27:40,3.23,30.2,33850.25
2026-06-25 12:29:27,3.23,0.6,34649.5
2026-06-25 12:30:53,3.23,30,35325.12
2026-06-25 12:32:41,3.23,30.4,35989.25
2026-06-25 12:34:46,3.23,29.8,36598.75
2026-06-25 12:36:17,3.21,29.6,37101.87
2026-06-25 12:39:53,3.23,29.8,37901.12
2026-06-25 12:41:38,3.23,29.8,38297.87
2026-06-25 12:41:57,3.23,30.4,38387
2026-06-25 12:43:23,3.23,32.2,38890.12
2026-06-25 12:43:41,3.23,30,38970.62
2026-06-25 12:46:54,3.23,30,39953.87
2026-06-25 12:47:12,3.22,29.8,40028.62
2026-06-25 12:48:42,3.23,29.4,40471.37
2026-06-25 12:48:59,3.22,29.4,40537.5
2026-06-25 12:50:48,3.22,30.2,40905.5
2026-06-25 12:52:22,3.23,22.8,41273.5
2026-06-25 12:52:40,3.22,29.4,41365.5
2026-06-25 12:54:10,3.22,30,42012.37
2026-06-25 12:55:54,3.21,57.4,6468.75
2026-06-25 12:57:55,3.22,29.8,35624.12
2026-06-25 12:59:43,3.22,47,7443.38
2026-06-25 13:00:02,3.21,35.2,7670.5
2026-06-25 13:00:18,3.22,45,8081.63
2026-06-25 13:00:53,3.2,29.2,25369
2026-06-25 13:01:10,3.22,30,37590.62
2026-06-25 13:03:35,3.22,29.2,47719.25
2026-06-25 13:05:02,3.22,29.6,47569.75
2026-06-25 13:06:53,3.22,29.6,47917.62
2026-06-25 13:08:59,3.22,33.6,10200.5
2026-06-25 13:10:44,3.21,29.8,19095.75
2026-06-25 13:12:14,3.22,29.8,46687.12
2026-06-25 13:12:32,3.22,29.6,45586
2026-06-25 13:12:49,3.21,29.2,46238.62
2026-06-25 13:14:53,3.22,29.6,42590.25
2026-06-25 13:15:09,3.22,30.4,33378.75
2026-06-25 13:16:58,3.22,29.8,21404.38
2026-06-25 13:18:28,3.21,29.4,48852
2026-06-25 13:20:14,3.21,29.6,50602.87
2026-06-25 13:20:32,3.21,29.8,50700.62
2026-06-25 13:22:03,3.21,30,50191.75
2026-06-25 13:22:21,3.21,29.8,50191.75
2026-06-25 13:23:51,3.21,30,49731.75
2026-06-25 13:24:10,3.21,30.4,49895.62
2026-06-25 13:25:41,3.21,25.8,50680.5
2026-06-25 13:49:40,3.2,29.4,29793.62
2026-06-25 13:49:58,3.2,29.8,27827.12
2026-06-25 13:52:20,3.2,29.8,13621.75
2026-06-25 13:55:59,3.2,30.2,15973.5
2026-06-25 13:56:16,3.19,30,17074.63
2026-06-25 13:57:44,3.19,-3.6,20677
2026-06-25 13:58:02,3.2,30,19923.75
2026-06-25 13:59:31,3.2,-12.8,19179.13
2026-06-25 13:59:50,3.2,30.2,21950.62
2026-06-25 14:03:43,3.19,28.2,20389.5
2026-06-25 14:04:55,3.19,27.4,35046.25
2026-06-25 14:05:13,3.18,28.2,34201
2026-06-25 14:06:57,3.19,27.8,17508.75
2026-06-25 14:08:30,3.2,14.4,18730.63
2026-06-25 14:10:17,3.16,135.8,6831
2026-06-25 14:12:24,3.2,-0.8,30581.37
2026-06-25 14:12:41,3.2,-52.4,30426.12
2026-06-25 14:15:41,3.19,28.2,19794.38
2026-06-25 14:15:58,3.2,28.2,15878.62
2026-06-25 14:17:45,3.19,28.2,10051
2026-06-25 14:19:12,3.18,28.6,6937.37
2026-06-25 14:19:31,3.17,28.2,6431.38
2026-06-25 14:21:35,3.19,28.8,23043.13
2026-06-25 14:27:15,3.19,28.4,21111.13
2026-06-25 14:27:33,3.18,21.2,22902.25
2026-06-25 14:29:03,3.18,28.8,14053
2026-06-25 14:31:09,3.19,28.2,10787
2026-06-25 14:34:26,3.19,28.8,32378.25
2026-06-25 14:38:38,3.18,28,20214.13
2026-06-25 14:42:08,3.19,29.2,24584.12
2026-06-25 14:43:38,3.18,28.6,9933.12
2026-06-25 14:43:55,3.18,29.2,9044.75
2026-06-25 14:45:39,3.18,77.8,8446.75
2026-06-25 14:45:57,3.18,55,7955.12
2026-06-25 14:47:45,3.18,39.2,3910
2026-06-25 14:49:16,3.18,46.6,4807
2026-06-25 14:49:35,3.18,33.2,4901.87
2026-06-25 14:52:48,3.17,80.6,17960.12
2026-06-25 14:53:04,3.17,44.4,20564.87
2026-06-25 14:54:50,3.16,81,26136.62
2026-06-25 14:55:07,3.16,75,24403
2026-06-25 14:56:52,3.14,74.8,10255.12
2026-06-25 15:07:52,3.17,61.4,5643.62
2026-06-25 15:08:12,3.16,76,6327.88
2026-06-25 15:09:43,3.17,55.4,8734.25
2026-06-25 15:11:43,3.18,75,6146.75
2026-06-25 15:12:00,3.17,20,6302
2026-06-25 15:13:46,3.19,-42.6,9223
2026-06-25 15:15:29,3.18,30,4807
2026-06-25 15:21:08,3.18,48.4,3671.37
2026-06-25 15:22:38,3.16,55.8,3381
2026-06-25 15:22:56,3.17,76.8,3363.75
2026-06-25 15:25:18,3.13,100.8,6486
2026-06-25 15:25:23,3.13,117,6595.25
2026-06-25 15:31:56,3.14,109.4,9835.37
2026-06-25 15:32:13,3.13,125.4,11583.37
2026-06-25 15:46:40,3.12,153.2,2248.25
2026-06-25 15:59:45,3.11,149.4,2058.5
