
devicename,deviceshortname,groupidentifier,sensor1name,sensor2name,serialnumber,devicetype,secondsTime,secondstimestring,dataSamplingSec, temperature,rtcBatVolt,opMode, rssi, snr,flowRate,totalMilliLitres,flowRate2,totalMilliLitres2,tank1PressurePsi,tank2PressurePsi,latitude,longitude,altitude,solarVoltage,capacitorVoltage,outdoortemperature,outdoorhumidity,lux, sleeptime,minimumEfficiencyForLed,minimumEfficiencyForWifi
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,-1765385946,2050-02-28 00:29:10,10, 45, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.56,0.00,0.00,-6.90, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739939423,2025-02-19 15:30:23,10, 28, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.53,0.00,0.00,0.00, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739940244,2025-02-19 15:44:04,10, 35, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.13,23.93,44.02,17503.00, 9150,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,-1744217946,2050-10-31 00:29:10,10, 35, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 5.04,0.00,0.00,-6.90, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 35, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.87,-99.00,0.00,-99.00, -311,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 26, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.82,-99.00,0.00,-99.00, -326,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 26, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.58,-99.00,0.00,-99.00, -382,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 26, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.75,-99.00,0.00,-99.00, -344,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 26, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.71,-99.00,0.00,-99.00, -353,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,-1595897288,2055-07-13 15:40:08,10, 26, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.62,-99.00,0.00,-99.00, 1078,40, 50
